Brand,Channel,Conversation Origin,Conversation URL,Conversation Tags,Message Type,Staff Name,Staff Email,Message Timestamp,Message Body
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/luci-sugar-cookies/perma?token=f27c86212a161,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2024-10-11T13:50:26.133-04:00,"Hi Matt,

Thank you for reaching out to us. I wanted to let you know that the best price we can offer at this time is $62.24 per case. We strive to provide competitive pricing and hope this meets your needs.

If you have any further questions or require additional assistance, please feel free to reach out. We're here to help.

Thank you for choosing us.

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/yum-earth-holiday-sale/perma?token=b31530c3089dc,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2024-10-17T14:25:26.469-04:00,"Hi Tyler,

I hope this message finds you well. As the holiday season approaches, we wanted to reach out and see if you're interested in pre-ordering some of our products. This is a great opportunity to ensure you have everything you need for the festivities. Please let us know if you have any questions or if there's anything specific you'd like to order. We're here to help make your holiday planning as smooth as possible.

Looking forward to hearing from you soon!

Thanks,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-bnc24-15734-33/perma?token=997638fe51abe,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2024-10-24T14:37:05.248-04:00,"Hi Wanwimon,

Thanks for your order. Currently, the dried figs on order are out of stock, but we do have Adam & Eve Kalamata Sun-Dried Figs 7.05 Oz once available to ship, please let us know if the replacement is okay to ship.

Thanks,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-bnc24-15884-33/perma?token=7fce99d76a2a1,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2024-10-28T15:03:39.369-04:00,"Hi Lauren,

I hope this message finds you well. To proceed with shipping your order, we kindly ask that you complete and return the attached credit card authorization form. This step is necessary for orders over $500 to ensure the security of your transaction and to protect against credit card fraud. We appreciate your understanding and cooperation in this matter.

Thank you for your attention to this, and please let us know if you have any questions or need further assistance.

Best regards,  
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-15420/perma?token=7771f8ce03f83,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2024-11-07T15:34:01.101-05:00,"Hi Brooks,

Thank you for reaching out and for your order. I wanted to inform you that the figs you ordered are currently on backorder. However, we do have the Adam & Eve Kalamata Sun-Dried Figs in stock, which are of higher quality compared to the Krinos Kalamata figs. Please let us know if you would like to proceed with these, and we will be happy to process your order promptly.

https://boxncase.com/products/adam-eve-kalamata-sun-dried-figs-7-05-oz-24ct

Thank you for your understanding.

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-bnc24-16045-33/perma?token=d4e3e27645236,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2024-11-14T14:15:02.155-05:00,"Hi Victoria,

Thank you for reaching out to us. I wanted to inform you that the item from your order is currently on backorder. However, we do have a similar item available that could serve as a substitute. Please take a look at the following product link:

[Substitute Item - Laffy Taffy Mini Banana Tub](https://boxncase.com/products/laffy-taffy-mini-banana-tub?variant=31971992862765)

Could you please let us know if this substitute is acceptable for your order? We want to ensure your satisfaction and are here to assist you with any questions or concerns you might have.

Thank you for your understanding and patience.

Best regards,  
Katy  
BoxNCase Help Center Team"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/ty-nant-water-93afb7f2079f49c2/perma?token=c32dfcf6cc305,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2024-11-18T15:09:37.735-05:00,"Hi Nancy,

Thank you for your recent order. I wanted to inform you that, unfortunately, the blue Ty Nant water is currently unavailable. However, we do have the red bottle in stock. Could you please let us know if the red bottle would be an acceptable alternative for you? We are committed to ensuring your satisfaction and are here to assist with any further questions or preferences you might have.

Thank you for your understanding.

Best regards,  
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/update-on-your-order-haribo-kicks/perma?token=7a6e47e3f54a9,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-02-07T15:53:44.135-05:00,"Hi Mike,

I hope this message finds you well. I am reaching out to provide an update on your recent order with us at BoxNCase. Unfortunately, the Haribo Kicks you requested are currently on backorder. We apologize for any inconvenience this may cause.

However, we are pleased to inform you that we have the Müttenberg Candy Sour Gummy Kicks available and ready to be shipped immediately. If you would like, we can substitute the Haribo Kicks with the Müttenberg Candy Sour Gummy Kicks so you can receive your order without further delay.

Please let us know how you would like to proceed, and we will be happy to accommodate your preference.

Thank you for choosing BoxNCase. We appreciate your understanding and look forward to serving you.

Best regards,

Jen  
BoxNCase Help Center"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/update-on-your-order-haribo-kicks-fcb01f84b11f95d4/perma?token=7fa8514e5ed80,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-02-07T15:55:00.728-05:00,"Hi Tonia,

I hope this message finds you well. I am reaching out to provide an update on your recent order with us at BoxNCase. Unfortunately, the Haribo Kicks you requested are currently on backorder. We apologize for any inconvenience this may cause.

However, we are pleased to inform you that we have the Müttenberg Candy Sour Gummy Kicks available and ready to be shipped immediately. If you would like, we can substitute the Haribo Kicks with the Müttenberg Candy Sour Gummy Kicks so you can receive your order without further delay.

Please let us know how you would like to proceed, and we will be happy to accommodate your preference.

Thank you for choosing BoxNCase. We appreciate your understanding and look forward to serving you.

Best regards,

Jen  
BoxNCase Help Center"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/update-on-your-order-haribo-kicks-849095ae8ec047d5/perma?token=69baf2b2aeca5,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-02-07T15:55:54.921-05:00,"Hi Derek,

I hope this message finds you well. I am reaching out to provide an update on your recent order with us at BoxNCase. Unfortunately, the Haribo Kicks you requested are currently on backorder. We apologize for any inconvenience this may cause.

However, we are pleased to inform you that we have the Müttenberg Candy Sour Gummy Kicks available and ready to be shipped immediately. If you would like, we can substitute the Haribo Kicks with the Müttenberg Candy Sour Gummy Kicks so you can receive your order without further delay.

Please let us know how you would like to proceed, and we will be happy to accommodate your preference.

Thank you for choosing BoxNCase. We appreciate your understanding and look forward to serving you.

Best regards,

Jen  
BoxNCase Help Center"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-bnc24-15884-33-2387aa34f1c4cd2c/perma?token=926e2bd20d1e3,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-02-24T16:17:25.866-05:00,"Subject: Important Update Regarding Your Order

Hi Annie,

Thank you for choosing us for your floral needs. We wanted to inform you that your recent order requires overnight shipping to ensure the flowers arrive in perfect condition. This specialized shipping service incurs an additional fee of $25, which has been added to your order.

To proceed with the shipment, we kindly ask you to complete the payment for this additional amount. Once the payment is processed, we will expedite the shipping to ensure your flowers reach you as fresh and beautiful as intended.

We appreciate your understanding and cooperation. If you have any questions or need further assistance, please feel free to reach out.

Thank you for your prompt attention to this matter.

Best regards,  
Jen  
BoxNCase Help Center"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/hi-nauki/perma?token=a7a7a96182edc,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-02-27T13:33:35.088-05:00,"Hi Nauki,  
Please find the credit card form attached as discussed over the phone.

Thanks,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/bnc24-18269-33/perma?token=fc013e4264432,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-03-03T18:27:22.209-05:00,"Hi Joseph,

Please send back the complete credit card form and also as discussed please see the details of Bucheron Cheese from another vendor.  
https://boxncase.com/products/montchevre-bucheron-cheese-log-1?_pos=1&_sid=becf390a1&_ss=r&variant=44317500309743

Thanks,  
Peter"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/super-coffee/perma?token=b70d166de77e1,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-01T18:43:51.292-04:00,"Hi Stacy,

Thank you for reaching out! I hope you're doing well. To place your order, please follow the link below, which will take you directly to our selection of Super Coffee products:

[Order Super Coffee](https://boxncase.com/collections/vendors?q=Super%20Coffee)

If you have any questions or need further assistance while placing your order, please don't hesitate to let me know. I'm here to help!

Best regards,  
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-cceec72e60397a11/perma?token=5eb5e2e768ab5,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-02T16:58:21.612-04:00,"Hi Cody,

I hope this message finds you well. I wanted to reach out regarding your recent order. Unfortunately, the cheese you selected is currently on back order. However, we do have a similar option available that I believe you might enjoy: the Artikaas Smoked Gouda Cheese (6 oz). You can find more details about it here: [Artikaas Smoked Gouda Cheese](https://boxncase.com/products/artikaas-smoked-gouda-cheese-6-oz?_pos=10&_sid=bf48240c4&_ss=r&variant=45694560960751).

Please let me know if this substitution works for you, or if there’s anything else I can assist you with. Your satisfaction is our top priority, and we want to ensure you have a great experience with us.

Thank you for your understanding, and I look forward to hearing from you soon.

Best regards,  
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-0b3ccad37283ec09/perma?token=ecaf578b42ec5,"",Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-14T17:44:45.064-04:00,"Hi Rita,

Thank you for your recent order with us! I wanted to reach out regarding the Ronnybrook Dairy Crème Fraiche - 2 LB that you selected. Unfortunately, this item is currently on back order.

To ensure you receive a product as soon as possible, we would like to offer you an alternative option at no additional cost. We have the Cabot Creamery Crème Fraiche - 3 LB available, which you can view through the link below:

[Cabot Creamery Crème Fraiche - 3 LB](https://boxncase.com/products/cabot-creamery-creme-fraiche-1?_pos=1&_psq=CABOT+CREAMERY+Creme+Fraiche&_ss=e&_v=1.0&variant=46100591575279)

Please let us know if you would like to proceed with this substitute or if you prefer to wait for the original item. Your satisfaction is our top priority, and we are here to assist you in any way we can.

Thank you for your understanding, and we look forward to your response!

Best regards,  
Katy"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-686b3eef6c351832/perma?token=a722f7d913a80,Cancel/Refund,Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-21T14:24:46.584-04:00,"Hi Spencer,

Thank you for reaching out and for your recent order. I wanted to inform you that, unfortunately, the coconut flavor you selected is currently out of stock. However, we do have a variety of delicious alternatives available in our Lemon Perfect line. You can choose from the following flavors: Watermelon, Sunshine Tea, Peach, Lemon, Lime, and Mango.

Please let me know if any of these options appeal to you, and I will be happy to process your order promptly. Your satisfaction is our priority, and we want to ensure you receive a product you’ll enjoy.

Thank you for your understanding, and I look forward to hearing from you soon!

Best regards,  
Jen"
BoxNCase Help Center,BoxNCase Support,Staff Outbound,https://support.boxncase.com/conversations/order-update-7c01965e631af03e/perma?token=e5ec76634efcb,Cancel/Refund,Staff,BoxNCase Resolution Center,sales@boxncase.com,2025-04-21T14:25:55.136-04:00,"Hi Angela,

Thank you for reaching out and for your recent order. I wanted to inform you that, unfortunately, the coconut flavor you selected is currently out of stock. However, we do have a variety of delicious alternatives available in our Lemon Perfect line. You can choose from the following flavors: Watermelon, Sunshine Tea, Peach, Lemon, Lime, and Mango.

Please let me know if any of these options appeal to you, and I will be happy to process your order promptly. Your satisfaction is our priority, and we want to ensure you receive a product you’ll enjoy.

Thank you for your understanding, and I look forward to hearing from you soon!

Best regards,  
Jen"
